ID,Spp,Length,Weight,Spine,Sex,Date,Year,Comment,AgeCon,KeyAge
2,CCF,640,2205,Y,,07/29/2017,2017,2,8,8
3,CCF,435,695,Y,,07/29/2017,2017,3,5,5
4,CCF,489,880,Y,,07/29/2017,2017,4,8,8
6,CCF,566,1521,Y,,07/29/2017,2017,6,7,7
7,CCF,522,1304,Y,,07/29/2017,2017,7,6,6
8,CCF,375,422,Y,,07/29/2017,2017,8,6,6
9,CCF,375,404,Y,,07/29/2017,2017,9,7,7
10,CCF,591,,Y,,07/29/2017,2017,10,8,8
11,CCF,394,443,Y,,07/29/2017,2017,11,4,4
12,CCF,531,1220,Y,,07/29/2017,2017,12,7,7
13,CCF,531,1431,Y,,07/29/2017,2017,13,7,7
15,CCF,551,1366,Y,,07/29/2017,2017,15,9,9
16,CCF,554,1376,Y,,07/29/2017,2017,16,6,6
17,CCF,510,1149,Y,,07/29/2017,2017,17,7,7
18,CCF,639,2388,Y,,07/29/2017,2017,18,10,10
19,CCF,549,1419,Y,,07/29/2017,2017,19,7,7
20,CCF,535,1103,Y,,07/29/2017,2017,20,7,7
21,CCF,477,858,Y,,07/29/2017,2017,21,7,7
22,CCF,615,1785,Y,,07/29/2017,2017,22,7,7
23,CCF,553,1572,Y,,07/29/2017,2017,23,8,8
24,CCF,687,2758,Y,,07/29/2017,2017,24,10,10
25,CCF,423,591,Y,,07/29/2017,2017,25,5,5
26,CCF,471,809,Y,,07/29/2017,2017,26,6,6
27,CCF,510,1134,Y,,07/29/2017,2017,27,6,6
29,CCF,625,1824,Y,,07/29/2017,2017,29,8,8
30,CCF,585,1787,Y,,07/29/2017,2017,30,7,7
31,CCF,446,694,Y,,07/29/2017,2017,31,7,7
32,CCF,524,1065,Y,,07/29/2017,2017,32,7,7
33,CCF,565,1485,Y,,07/29/2017,2017,33,9,9
34,CCF,546,1232,Y,,07/29/2017,2017,34,8,8
37,CCF,471,772,Y,,07/29/2017,2017,37,5,5
38,CCF,456,639,Y,,07/29/2017,2017,38,5,5
39,CCF,479,963,Y,,07/29/2017,2017,39,9,9
40,CCF,550,1229,Y,,07/29/2017,2017,40,8,8
43,CCF,434,625,Y,,07/29/2017,2017,43,4,4
44,CCF,495,956,Y,,07/29/2017,2017,44,6,6
49,CCF,672,2671,Y,,07/29/2017,2017,49,9,9
50,CCF,535,1335,Y,,07/29/2017,2017,50,6,6
51,CCF,533,1165,Y,,07/29/2017,2017,51,8,8
52,CCF,451,682,Y,,07/29/2017,2017,52,6,6
54,CCF,384,393,N,,07/29/2017,2017,54,,5
56,CCF,532,1212,N,,07/29/2017,2017,56,,7
57,CCF,500,1083,Y,,07/29/2017,2017,57,7,7
58,CCF,530,1285,N,,07/29/2017,2017,58,,7
59,CCF,507,1063,Y,,07/29/2017,2017,59,6,6
