Year,ID,Spp,Length,Weight,Spine,Sex,Date,Comment,AgeCon,KeyAge,Discharge,Gage.Height,First.Date,LenCat,logtl,logwt,gcat,Ws,Wr,Discharge_cent
2017,2,CCF,640,2205,Y,NA,07/29/2017,2,8,8,180.3,NA,7/28/2018,640,2.806179973983887,3.3434085938038574,preferred,2776.878220770073,79.40571478818823,-0.6088476529324222
2017,3,CCF,435,695,Y,NA,07/29/2017,3,5,5,180.3,NA,7/28/2018,430,2.6384892569546374,2.8419848045901137,quality,778.3655613637002,89.28966471517018,-0.6088476529324222
2017,4,CCF,489,880,Y,NA,07/29/2017,4,8,8,180.3,NA,7/28/2018,480,2.6893088591236203,2.9444826721501687,quality,1144.4145795071809,76.89521050832421,-0.6088476529324222
2017,6,CCF,566,1521,Y,NA,07/29/2017,6,7,7,180.3,NA,7/28/2018,560,2.7528164311882715,3.182129214052998,quality,1852.5815063569908,82.1016508467134,-0.6088476529324222
2017,7,CCF,522,1304,Y,NA,07/29/2017,7,6,6,180.3,NA,7/28/2018,520,2.717670503002262,3.1152775913959014,quality,1419.079207895698,91.89057191061627,-0.6088476529324222
2017,8,CCF,375,422,Y,NA,07/29/2017,8,6,6,180.3,NA,7/28/2018,370,2.574031267727719,2.625312450961674,stock,477.3742575083958,88.40024223396212,-0.6088476529324222
2017,9,CCF,375,404,Y,NA,07/29/2017,9,7,7,180.3,NA,7/28/2018,370,2.574031267727719,2.606381365110605,stock,477.3742575083958,84.62961578796374,-0.6088476529324222
2017,11,CCF,394,443,Y,NA,07/29/2017,11,4,4,180.3,NA,7/28/2018,390,2.595496221825574,2.6464037262230695,stock,561.7777763011204,78.85680400474689,-0.6088476529324222
2017,12,CCF,531,1220,Y,NA,07/29/2017,12,7,7,180.3,NA,7/28/2018,530,2.725094521081469,3.0863598306747484,quality,1501.278802074731,81.26405290702763,-0.6088476529324222
2017,13,CCF,531,1431,Y,NA,07/29/2017,13,7,7,180.3,NA,7/28/2018,530,2.725094521081469,3.1556396337597765,quality,1501.278802074731,95.3187374671775,-0.6088476529324222
